Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-07-20 10:59:15,FALSE,Treadmill Running,1.08,124,0:31,86,96,0.1,99,165,27:53,12:50,--,--,0.79,7.6,5.8,412,--,102,0.0,86,235,"3,070",-3,No,00:01:26.3,2,00:23:32,00:30:03,--,--
Running,2025-07-18 09:39:21,FALSE,Walnut Creek Running,3.00,365,0:29,131,141,2.1,160,187,9:23,5:07,59,59,1.07,8.7,9.4,286,9:23,337,0.0,334,631,"4,508",-7,No,00:00:02.2,4,00:28:10,00:28:13,120,182
Running,2025-07-17 20:00:38,FALSE,Walnut Creek Running,4.01,510,0:40,139,147,2.3,157,167,9:50,8:27,69,79,1.05,8.9,9.4,294,9:50,325,0.0,323,395,"6,152",-6,No,00:00:03.6,5,00:39:22,00:39:23,133,203
Running,2025-07-17 09:23:49,FALSE,Walnut Creek Running,5.01,600,0:33,173,192,3.9,171,186,6:35,5:12,108,102,1.42,7.0,9.9,237,6:36,474,0.0,470,636,"5,640",-11,No,00:00:02.4,6,00:32:56,00:34:45,104,205
Running,2025-07-16 09:20:19,FALSE,Walnut Creek Running,5.01,630,0:49,133,150,2.5,159,167,9:36,7:54,121,112,1.06,8.8,9.3,289,9:35,329,0.0,327,461,"7,630",-10,No,00:00:03.5,6,00:47:57,00:50:03,101,201
Running,2025-07-15 09:32:51,FALSE,Walnut Creek Running,1.01,133,0:09,151,157,1.8,158,165,8:52,8:02,13,13,1.14,8.5,9.7,282,8:54,358,0.0,352,409,"1,414",-3,No,00:00:02.2,2,00:08:54,00:08:55.0,156,177
Running,2025-07-15 08:59:53,FALSE,Walnut Creek Running,4.17,479,0:31,154,184,3.1,149,187,7:17,5:23,66,72,1.49,6.6,9.5,221,7:15,484,0.0,419,583,"4,534",-8,No,00:00:01.5,12,00:27:00,00:30:22,156,183
Running,2025-07-15 08:49:02,FALSE,Walnut Creek Running,1.01,123,0:09,142,163,1.9,163,186,8:11,4:51,13,20,1.21,8.0,9.6,268,8:11,397,0.0,382,637,"1,336",-3,No,00:00:03.7,2,00:08:12.7,00:08:14.4,156,181
Running,2025-07-14 19:19:25,FALSE,Walnut Creek Running,5.01,636,0:41,157,188,3.4,163,190,8:00,4:58,105,105,1.23,8.0,9.8,269,7:59,407,0.0,393,634,"6,504",-7,No,00:00:02.0,6,00:40:00,00:40:05,97,205
Running,2025-07-14 08:50:23,FALSE,Walnut Creek Running,3.11,368,0:21,170,185,3.2,173,178,6:41,5:52,52,59,1.39,7.0,9.7,237,6:42,465,0.0,463,548,"3,586",-6,No,00:00:40.8,4,00:20:44,00:20:45,125,184
Running,2025-07-12 06:22:26,FALSE,Walnut Creek Running,20.01,"2,479",2:50,155,185,4.8,162,220,8:27,5:41,472,476,1.17,8.3,9.5,273,8:27,382,0.0,370,588,"27,486",-33,No,00:00:04.3,21,02:48:48,02:53:44,84,221
Running,2025-07-11 08:35:28,FALSE,Walnut Creek Running,5.01,639,0:41,157,173,3.2,165,177,8:04,5:32,112,105,1.20,8.0,9.6,265,8:04,387,0.0,384,569,"6,668",-11,No,00:00:05.1,6,00:40:24,00:42:38,104,207
Running,2025-07-10 08:42:21,FALSE,Walnut Creek Running,5.01,634,0:41,155,177,3.3,165,174,8:01,6:22,115,98,1.21,8.0,9.7,266,8:01,395,0.0,388,516,"6,608",-10,No,00:00:04.8,6,00:40:10,00:40:12,113,212
Running,2025-07-09 15:42:17,FALSE,Walnut Creek Running,5.01,662,0:51,145,163,2.4,157,165,10:08,7:34,115,98,1.01,9.1,9.1,295,10:07,314,0.0,311,461,"7,986",-11,No,00:00:03.7,6,00:50:40,00:51:18,110,207
Running,2025-07-08 09:27:49,FALSE,Walnut Creek Running,5.02,638,0:46,140,152,2.7,162,171,9:04,6:37,118,108,1.09,8.5,9.3,278,9:03,347,0.0,344,514,"7,362",-10,No,00:00:08.0,6,00:45:27,00:46:34,102,204
